date,close,volume,open,high,low
04/12/2017,11.23,56548080,11.27,11.295,11.2
04/13/2017,11.11,32709870,11.22,11.25,11.11
04/17/2017,11.28,44137190,11.22,11.3,11.14
04/18/2017,11.14,35649430,11.15,11.18,11.08
04/19/2017,11.19,37511510,11.19,11.28,11.17
04/20/2017,11.47,49977580,11.25,11.5,11.24
04/21/2017,11.34,26014500,11.46,11.48,11.32
04/24/2017,11.43,37983850,11.48,11.5,11.36
04/25/2017,11.48,35855450,11.47,11.5,11.43
04/26/2017,11.6,51676250,11.47,11.7,11.45
04/27/2017,11.47,50133620,11.66,11.68,11.34
04/28/2017,11.47,41412480,11.51,11.51,11.4
05/01/2017,11.42,32109290,11.49,11.54,11.4
05/02/2017,10.92,94400180,11.3,11.37,10.9
05/03/2017,11.07,57273320,10.92,11.09,10.91
05/04/2017,11,34552240,11.09,11.11,10.96
05/05/2017,11.14,28853280,11.01,11.16,10.98
05/08/2017,11.13,35445840,11.18,11.24,11.09
05/09/2017,11.16,44132230,11.14,11.255,11.1
05/10/2017,11.04,34978210,11.16,11.2,11.03
05/11/2017,11.01,29233230,11.04,11.07,10.97
05/12/2017,10.92,34257390,11,11.03,10.9
05/15/2017,10.94,27303480,10.96,11.03,10.92
05/16/2017,10.94,42091480,11.06,11.07,10.9
05/17/2017,10.76,54630160,10.88,10.95,10.67
05/18/2017,10.79,37845810,10.73,10.82,10.7
05/19/2017,10.87,32358860,10.81,10.94,10.79
05/22/2017,11.1,73197740,11.11,11.13,10.98
05/23/2017,11.05,40802880,11.16,11.165,10.97
05/24/2017,10.96,46686840,11.06,11.06,10.87
05/25/2017,10.86,46214250,10.96,10.97,10.76
05/26/2017,10.93,28163580,10.85,10.945,10.81
05/30/2017,11.08,36035310,11,11.12,10.99
05/31/2017,11.12,36448870,11.12,11.13,11
06/01/2017,11.41,76684650,11.25,11.54,11.1
06/02/2017,11.35,45919400,11.42,11.43,11.24
06/05/2017,11.25,42495830,11.36,11.36,11.225
06/06/2017,11.12,44538510,11.19,11.2,11.05
06/07/2017,11.07,37341980,11.16,11.19,11.02
06/08/2017,11.1,40688970,10.94,11.1,10.91
06/09/2017,11.13,30273280,11.09,11.15,11.01
06/12/2017,11.28,38471080,11.13,11.36,11.13
06/13/2017,11.27,29887170,11.315,11.35,11.15
06/14/2017,11.22,44359600,11.28,11.29,11.06
06/15/2017,11.24,28426060,11.15,11.29,11.14
06/16/2017,11.22,51459360,11.24,11.24,11.07
06/19/2017,11.24,30510950,11.2,11.28,11.18
06/20/2017,11.12,31860540,11.21,11.22,11.09
06/21/2017,11.04,36991430,11.15,11.15,11
06/22/2017,11.13,26966120,11.02,11.18,11
06/23/2017,11.04,45188680,11.1,11.13,11
06/26/2017,11.18,31312600,11.06,11.2,11.055
06/27/2017,11.08,28475040,11.17,11.2,11.06
06/28/2017,11.09,31813810,11.11,11.17,11.07
06/29/2017,11.17,32913660,11.13,11.2,11.07
06/30/2017,11.19,41068960,11.18,11.28,11.16
07/03/2017,11.56,43949590,11.36,11.685,11.25
07/05/2017,11.3,39399520,11.51,11.56,11.26
07/06/2017,11.18,31932980,11.29,11.36,11.17
07/07/2017,11.26,20521260,11.21,11.28,11.16
07/10/2017,11.34,18869010,11.24,11.35,11.23
07/11/2017,11.38,25909030,11.31,11.43,11.3
07/12/2017,11.47,33084480,11.41,11.62,11.4
07/13/2017,11.6,33635130,11.46,11.69,11.45
07/14/2017,11.68,39790700,11.645,11.73,11.6
07/17/2017,11.74,24381940,11.71,11.75,11.65
07/18/2017,11.75,24622830,11.72,11.75,11.67
07/19/2017,11.83,26207730,11.76,11.83,11.74
07/20/2017,11.7,29913330,11.69,11.78,11.66
07/21/2017,11.53,27623560,11.59,11.62,11.46
07/24/2017,11.29,48097900,11.51,11.55,11.27
07/25/2017,11.27,52793530,11.3,11.375,11.22
07/26/2017,11.06,72186770,11.14,11.16,10.95
07/27/2017,11.18,37982170,11.08,11.2,11.03
07/28/2017,11.17,24531000,11.15,11.22,11.06
07/31/2017,11.22,39537500,11.16,11.23,11.125
08/01/2017,10.95,65067100,11.11,11.15,10.87
08/02/2017,11,30864360,10.98,11.025,10.93
08/03/2017,10.93,20298210,11.01,11.05,10.92
08/04/2017,10.95,29258640,10.9,10.99,10.78
08/07/2017,10.92,35010930,10.94,10.98,10.9
08/08/2017,10.89,26086100,10.95,11,10.88
08/09/2017,10.92,32137100,10.88,10.95,10.83
08/10/2017,10.77,31861210,10.88,10.91,10.77
08/11/2017,10.77,32297050,10.79,10.84,10.76
08/14/2017,10.91,26393050,10.82,10.95,10.79
08/15/2017,10.84,29219730,10.92,11,10.835
08/16/2017,10.8,28284200,10.86,10.9,10.78
08/17/2017,10.64,35244490,10.79,10.8,10.6
08/18/2017,10.56,43987170,10.62,10.63,10.47
08/21/2017,10.57,30110430,10.53,10.655,10.52
08/22/2017,10.65,28614200,10.61,10.73,10.61
08/23/2017,10.71,35397200,10.61,10.78,10.59
08/24/2017,10.71,33553070,10.75,10.8,10.69
08/25/2017,10.82,35784530,10.77,10.88,10.76
08/28/2017,10.79,22233820,10.86,10.88,10.73
08/29/2017,10.84,29769490,10.75,10.89,10.73
08/30/2017,10.94,23527450,10.82,10.94,10.77
08/31/2017,11.03,54073940,10.97,11.2,10.95
09/01/2017,11.35,64383950,11.18,11.43,11.14
09/05/2017,11.36,44137930,11.36,11.39,11.24
09/06/2017,11.5,43267990,11.39,11.53,11.389
09/07/2017,11.4,30260630,11.52,11.52,11.33
09/08/2017,11.36,26561350,11.34,11.39,11.29
09/11/2017,11.41,43312800,11.4,11.45,11.38
09/12/2017,11.59,41324190,11.43,11.67,11.39
09/13/2017,11.62,23185840,11.6,11.63,11.52
09/14/2017,11.56,31616610,11.6,11.68,11.48
09/15/2017,11.62,30400610,11.54,11.63,11.49
09/18/2017,11.63,24903320,11.63,11.73,11.595
09/19/2017,11.72,26315680,11.63,11.74,11.62
09/20/2017,11.71,26234940,11.68,11.795,11.635
09/21/2017,11.72,40262740,11.71,11.82,11.69
09/22/2017,11.84,30193330,11.74,11.87,11.72
09/25/2017,11.94,40762930,11.88,12.06,11.84
09/26/2017,11.93,30627220,11.95,12,11.9
09/27/2017,11.95,27811530,11.98,12.02,11.86
09/28/2017,11.96,22665140,11.95,11.99,11.9
09/29/2017,11.97,31175580,11.97,12.02,11.92
10/02/2017,12.09,35996000,12,12.09,11.97
10/03/2017,12.34,65603080,12.32,12.43,12.22
10/04/2017,12.3,52849720,12.33,12.46,12.28
10/05/2017,12.25,48135740,12.34,12.36,12.15
10/06/2017,12.31,35021100,12.2,12.33,12.1925
10/09/2017,12.34,28921420,12.33,12.41,12.25
10/10/2017,12.39,40580350,12.34,12.42,12.25
10/11/2017,12.38,34723730,12.38,12.43,12.31
10/12/2017,12.12,46120360,12.3,12.32,12.11
10/13/2017,12.05,44569070,12.06,12.17,11.87
10/16/2017,12.12,32344380,11.99,12.15,11.96
10/17/2017,12.27,55210520,12.13,12.31,12.12
10/18/2017,12.19,30695500,12.28,12.35,12.17
10/19/2017,12.23,29641850,12.14,12.25,12.05
10/20/2017,12.1,28166170,12.12,12.14,12
10/23/2017,12.04,21479060,12.11,12.19,12.04
10/24/2017,12.19,34124010,12.11,12.26,12.0909
10/25/2017,12.04,47638020,12.15,12.15,11.97
10/26/2017,12.27,48940260,12.2,12.34,12.06
10/27/2017,12.06,33904990,12.23,12.24,12.0101
10/30/2017,12.1,36399390,12.01,12.15,11.95
